"","Authors","Year","Title","Objectives","Journal","URL"
"55","Gier et al",2018,"Disease burden of psittacosis in the Netherlands","Psittacosis (infection with Chlamydia psittaci) can have diverse presentations in humans, ranging from asymptomatic infection to severe systemic disease. Awareness of psittacosis and its presentations are low among clinicians and the general public. Therefore, underdiagnosis and thereby underestimation of the incidence and public health importance of psittacosis is very likely. We used the methodology developed for the Burden of communicable diseases in Europe toolkit of the European Centre for Disease Prevention and Control, to construct a model to estimate disease burden in disability-adjusted life years (DALYs) attributable to psittacosis. Using this model, we estimated the disease burden caused by psittacosis in the Netherlands to have been 222 DALY per year (95% CI 172-280) over the period 2012-2014. This is comparable with the amount of DALYs estimated to be due to rubella or shigellosis in the same period in the Netherlands. Our results highlight the public health importance of psittacosis and identify evidence gaps pertaining to the clinical presentations and prognosis of this disease.","Epidemiol Infect","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/29361998/"
"56","Gier et al",2019,"Disease burden of neonatal invasive Group B Streptococcus infection in the Netherlands","To estimate the current burden of neonatal invasive GBS disease in the Netherlands, as a first step in providing an evidence base for policy makers on the potential benefits of a future maternal GBS vaccine.","PLoS One","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/31071191/"
"57","Gier et al",2016,"Staat van Infectieziekten in Nederland, 2016 [State of Infectious Diseases in the Netherlands, 2016]","In 2016 was de grote uitbraak van het zikavirus in Latijns Amerika de meest in het oog springende infectieziekte. Tijdens deze uitbraak werd ontdekt dat het zikavirus infectie Guillain-Barré syndroom kan veroorzaken en dat na een infectie tijdens de zwangerschap ernstige aangeboren afwijkingen kunnen ontstaan. In Caribisch Nederland wordt het zikavirus vooral verspreid via muggen. In Europees Nederland kan zikavirus verspreid worden door seksuele contacten met geïnfecteerde reizigers. In 2016 is een meldingsplicht ingesteld voor zwangeren met een zikavirusinfectie of als de ziekte ernstig verloopt.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2017-0029.pdf"
"58","Gier et al",2017,"Staat van Infectieziekten in Nederland, 2017 [State of Infectious Diseases in the Netherlands, 2017]","In 2017 is het aantal mensen dat in Nederland ziek werd van meningokokken W opnieuw sterk toegenomen. In 2017 zijn 80 patiënten gemeld, ten opzichte van gemiddeld 4 patiënten per jaar vóór 2015. Vanwege deze toename is de meningokokken C-vaccinatie die baby's van 14 maanden krijgen, vanaf 1 mei 2018 vervangen door een vaccin dat tegen meer typen meningokokken beschermt (ACWY). Het meningokokken ACWY-vaccin wordt vanaf het najaar 2018 ook aangeboden aan tieners die geboren zijn tussen 2001 en 2004.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2018-0032.html"
"59","Gier et al",2019,"Staat van Infectieziekten in Nederland, 2018 [State of Infectious Diseases in the Netherlands, 2018]","De afgelopen jaren neemt het aantal mensen dat ziek is geworden van de meningokokken type W-bacterie toe. Deze stijging zette in 2018 door (103 patiënten in 2018, 80 in 2017). Vaccinatie tegen dit type meningokok is daarom sinds mei 2018 toegevoegd aan de vaccinatie voor kinderen van 14 maanden. Daarnaast wordt deze meningokokken ACWY-vaccinatie in 2019 aangeboden aan jongeren die tussen 2001 en 2005 zijn geboren. Een deel van de jongeren uit 2004, is hier al in 2018 voor uitgenodigd. Het griepseizoen 2018-2019 verliep, met naar schatting 400.000 zieken, aanzienlijk milder dan de hevige epidemie van 2017-2018 (900.000 zieken). In juli en augustus 2018 zijn opvallend veel meldingen gedaan van kraamvrouwenkoorts door groep A streptokokken (27 patiënten). In die periode zagen huisartsen ook veel mensen met krentenbaard. Na onderzoek van het RIVM bleek dat de vrouwen die kraamvrouwenkoorts kregen relatief vaak in contact waren geweest met mensen met roodvonk, krentenbaard of keelontsteking; drie ziekten die de groep A streptokok kan veroorzaken. De infectieziekten waaraan in de afgelopen vijf jaar de meeste 'gezonde levensjaren' in Nederland verloren gingen, zijn griep, pneumokokkenziekte, en infecties met legionella, hiv en campylobacter. Dit blijkt uit de Staat van Infectieziekten van het RIVM. Deze jaarlijkse rapportage geeft beleidsmakers bij onder andere het ministerie van VWS en GGD-en een overzicht van de belangrijkste ontwikkelingen van infectieziekten in Nederland en het buitenland. Het verdiepende thema gaat dit jaar over muggen en de ziekten die deze insecten kunnen overbrengen. In de media worden vaak muggensoorten, risico's en de factoren die hierop van invloed zijn, verward. Dit kan onnodige bezorgdheid veroorzaken. Daarom is een overzicht gemaakt van welke muggensoort welke ziekten kan overbrengen, en onder welke omstandigheden. Deze kennis is belangrijk om te kunnen bepalen of er een risico is voor de Nederlandse volksgezondheid. Het is nog onduidelijk wat de invloed van klimaatverandering (temperatuurstijging, meer regen en aanhoudende droogte) is op de risico's van mugoverdraagbare ziekten.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2019-0069.pdf"
"60","Gkogka et al",2011,"Risk-based Estimate of Effect of Foodborne Diseases on Public Health, Greece","The public health effects of illness caused by foodborne pathogens in Greece during 1996–2006 was quantified by using publicly available surveillance data, hospital statistics, and literature. Results were expressed as the incidence of different disease outcomes and as disability-adjusted life years (DALY), a health indicator combining illness and death estimates into a single metric. It has been estimated that each year ?370,000 illnesses/million inhabitants are likely caused because of eating contaminated food; 900 of these illnesses are severe and 3 fatal, corresponding to 896 DALY/million inhabitants. Ill-defined intestinal infections accounted for the greatest part of reported cases and 27% of the DALY. Brucellosis, echinococcosis, salmonellosis, and toxoplasmosis were found to be the most common known causes of foodborne illnesses, being responsible for 70% of the DALY. Overall, the DALY metric provided a quantitative perspective on the impact of foodborne illness that may be useful for prioritizing food safety management targets.","Emerg Infect Dis","https://www-ncbi-nlm-nih-gov.eur.idm.oclc.org/pmc/articles/PMC3322063/"
"61","Gledovic et al",2006,"Burden of tuberculosis in Serbia","To estimate the burden of tuberculosis (TB) in Serbia in the period 1992-2002 based on incidence, mortality, and disability adjusted life years (DALY).","American Journal of Infection Control","https://link.springer.com/referenceworkentry/10.1007%2F978-0-387-78665-0_68"
"62","Gore et al",2011,"Global burden of disease in young people aged 10–24 years: a systematic analysis","We describe the global burden of disease arising in young people and the contribution of risk factors to that burden.","Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736%2811%2960512-6/fulltext"
"63","Grant et al",2017,"The burden of disease is generally greater in more deprived areas, and that burden is more likely to be fatal","Scotland’s population – The Registrar General’s Annual Review of Demographic Trends; Scottish Burden of Disease (SBoD) study","ScotPHO","https://www.nrscotland.gov.uk/files/statistics/rgar-invited-chapter/rgar17-invited-chapter.pdf"
"64","Grant et al",2015,"The Scottish Burden of Disease (SBoD) study; Age–gender report","To cover both estimates calculated for individual conditions (for example, lung cancer, depression, chronic kidney disease or osteoarthritis) and for broad disease groupings. In the Scottish Burden of Disease Study, we have used the Global Burden of Disease 2015 study classification, which groups individual conditions into 21 disease groups","Public Health Information for Scotland (ScotPHO)","https://www.scotpho.org.uk/media/1444/sbod2015-age-gender-jul17.pdf"
"65","Haagsma et al",2006,"Disease burden and costs of selected foodborne pathogens in the Netherlands, 2006","Het onderzoek is uitgevoerd in opdracht van het ministerie van VWS en helpt om prioriteiten te kunnen aanbrengen in maatregelen die voedselinfecties voorkomen. Het onderzoek is onderdeel van een reeks naar de gezondheidseffecten van ziekteverwekkende micro-organismen waarvan het merendeel via voedsel wordt overgedragen.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/330331001.pdf"
"66","Haagsma et al",2008,"Disability Adjusted Life Years and minimal disease: application of a preference-based relevance criterion to rank enteric pathogens","1) to derive a relevance criterion for foodborne disease based on the preferences of a population panel, and 2) to compare YLD estimations of five common foodborne pathogens calculated with and without the application of the preferencebased relevance criterion.","Population Health Metrics","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/19114007/"
"67","Haagsma et al",2010,"Disease burden of post-infectious irritable bowel syndrome in the Netherlands","Post-infectious irritable bowel syndrome (PI-IBS) has been established as a sequel of infectious intestinal disease (IID). The aim of this study was to estimate the burden of PI-IBS caused by the pathogens Campylobacter, Salmonella and Shigella, and to compare this with other outcomes associated with these pathogens. The attributable risk of PI-IBS due to bacterial pathogens was calculated and linked to national data on gastroenteritis incidence and measures for severity and duration of illness in order to estimate the burden of PI-IBS. One year post-infection, IBS developed in 9% of patients with bacterial IID. The burden of PI-IBS adds over 2300 disability adjusted life years to the total annual disease burden for the selected pathogens. PI-IBS is a frequent sequel of IID, resulting in a considerable disease burden compared to other outcomes. If this relationship is not considered, this will result in an underestimation of the disease burden of IID.","Epidemiol Infect","https://www-cambridge-org.eur.idm.oclc.org/core/journals/epidemiology-and-infection/article/disease-burden-of-postinfectious-irritable-bowel-syndrome-in-the-netherlands/013EFB06CFBBF020E44B1B21D6140E48"
"68","Haro et al",2014,"The burden of disease in Spain: results from the global burden of disease study 2010","To evaluate the change in burden of disease in Spain, comparing the available data of the GBD over time, between 1990 and 2010","BMC Medicine","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L602646621"
"69","Harris et al",2019,"Estimating Disability-Adjusted Life Years (DALYs) in community cases of norovirus in England","To model a range of estimates of DALYs for community cases of norovirus in England and Wales. We estimated a range of DALYs for norovirus to account for mixing of the severity of disease and the range of length of illness experienced by infected people","Viruses","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/30795617/"
"70","Havelaar et al",2000,"Health burden in the Netherlands due to infection with thermophilic Campylobacter spp","To present a methodology to integrate the health burden of different outcomes of gastrointestinal disease, illustrated by a case study of the health burden due to infection with thermophilic Campylobacter species in the Netherlands","Epidemiol Infect","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/11218201/"
"71","Havelaar et al",2012,"Disease burden of foodborne pathogens in the Netherlands, 2009","To inform risk management decisions on control, prevention and surveillance of foodborne disease, the disease burden of foodborne pathogens is estimated using Disability Adjusted Life Years as a summary metric of public health.","Int J Food Microbiol","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/22541392/"
"72","Havelaar et al",2007,"Disease burden of congenital toxoplasmosis","Although the outcomes of toxoplasmosis have been well documented, an integrated estimate of the impact of this infection on the health status of the population is not available. “Disability-adjusted life years” are the sum of years of life lost and years lived with disability, weighted for the severity of the illness. The estimated disease burden of congenital toxoplasmosis in The Netherlands is 620 (range, 220–1900) disability-adjusted life years per year, which is similar to that for salmonellosis and is mainly caused by fetal loss and chorioretinitis. However, there is considerable uncertainty in this estimate. Scenario analysis indicates that the true burden may be underestimated. In other countries, the disease burden is expected to vary with the incidence of congenital infection, but it may also depend on the health care system. In countries that actively screen for toxoplasmosis, such as France, there may be a lower burden of morbidity but a higher burden of mortality.","Clinical Infectious Diseases","https://academic-oup-com.eur.idm.oclc.org/cid/article/44/11/1467/477171"
"73","Havelaar et al",2015,"World Health Organization Global Estimates and Regional Comparisons of the Burden of Foodborne Disease in 2010","Illness and death from diseases caused by contaminated food are a constant threat to public health and a significant impediment to socio-economic development worldwide. To measure the global and regional burden of foodborne disease (FBD), the World Health Organization (WHO) established the Foodborne Disease Burden Epidemiology Reference Group (FERG), which here reports their first estimates of the incidence, mortality, and disease burden due to 31 foodborne hazards. We find that the global burden of FBD is comparable to those of the major infectious diseases, HIV/AIDS, malaria and tuberculosis. The most frequent causes of foodborne illness were diarrheal disease agents, particularly norovirus and Campylobacter spp. Diarrheal disease agents, especially non-typhoidal Salmonella enterica, were also responsible for the majority of deaths due to FBD. Other major causes of FBD deaths were Salmonella Typhi, Taenia solium and hepatitis A virus. The global burden of FBD caused by the 31 hazards in 2010 was 33 million Disability Adjusted Life Years (DALYs); children under five years old bore 40% of this burden. The 14 subregions, defined on the basis of child and adult mortality, had considerably different burdens of FBD, with the greatest falling on the subregions in Africa, followed by the subregions in South-East Asia and the Eastern Mediterranean D subregion. Some hazards, such as non-typhoidal S. enterica, were important causes of FBD in all regions of the world, whereas others, such as certain parasitic helminths, were highly localised. Thus, the burden of FBD is borne particularly by children under five years old–although they represent only 9% of the global population–and people living in low-income regions of the world. These estimates are conservative, i.e., underestimates rather than overestimates; further studies are needed to address the data gaps and limitations of the study. Nevertheless, all stakeholders can contribute to improvements in food safety throughout the food chain by incorporating these estimates into policy development at national and international levels.","PLoS Med","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001923"
"74","Havelaar et al",2004,"Disease burden in The Netherlands due to infections with Shiga toxin-producing Escherichia coli O157","Infection with Shiga-toxin producing Escherichia coli serotype O157 (STEC O157) may lead to a gastroenteritis (GE) episode. Symptoms can vary from relatively mild watery diarrhoea to a severe form of bloody diarrhoea known as haemorrhagic colitis. In children, and sporadically in adults, the Shiga toxin may cause the Haemolytic Uraemic syndrome (HUS). Some HUS patients may develop End Stage Renal Disease (ESRD), either directly after the HUS episode or as many as 20 years later. ESRD patients are dependent on renal replacement therapy (dialysis, kidney transplantation) while GE, HUS and ESRD can all lead to premature mortality. Here, the epidemiology of illness associated with STEC O157 in the Netherlands is described on the basis of surveys carried out between 1990 and 2000. All available information is integrated in one public health measure, the Disability Adjusted Life Year (DALY). The mean disease burden associated with STEC O157 in the Dutch population has been estimated through simulation at 116 DALY per year (85 - 160 DALY per year using a 90% confidence interval). The disease burden is also highly variable. Mortality due to HUS (58 DALY), mortality due to ESRD (21 DALY) and dialysis due to ESRD (21 DALY) constitute the main determinants of disease burden. Scenario analysis was used to evaluate the influence of uncertain assumptions in the above calculations. In all scenarios, the estimated disease burden was within the above-mentioned confidence interval. The mean disease burden associated with STEC O157 in the Dutch population has been estimated through simulation at 116 DALY per year (85 - 160 DALY per year using a 90% confidence interval). The disease burden is also highly variable. Mortality due to HUS (58 DALY), mortality due to ESRD (21 DALY) and dialysis due to ESRD (21 DALY) constitute the main determinants of disease burden. Scenario analysis was used to evaluate the influence of uncertain assumptions in the above calculations. In all scenarios, the estimated disease burden was within the above-mentioned confidence interval. The mean disease burden associated with STEC O157 in the Dutch population has been estimated through simulation at 116 DALY per year (85 - 160 DALY per year using a 90% confidence interval). The disease burden is also highly variable. Mortality due to HUS (58 DALY), mortality due to ESRD (21 DALY) and dialysis due to ESRD (21 DALY) constitute the main determinants of disease burden. Scenario analysis was used to evaluate the influence of uncertain assumptions in the above calculations. In all scenarios, the estimated disease burden was within the above-mentioned confidence interval. mortality due to ESRD (21 DALY) and dialysis due to ESRD (21 DALY) constitute the main determinants of disease burden. Scenario analysis was used to evaluate the influence of uncertain assumptions in the above calculations. In all scenarios, the estimated disease burden was within the above-mentioned confidence interval. mortality due to ESRD (21 DALY) and dialysis due to ESRD (21 DALY) constitute the main determinants of disease burden. Scenario analysis was used to evaluate the influence of uncertain assumptions in the above calculations. In all scenarios, the estimated disease burden was within the above-mentioned confidence interval.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/284550008.html"
"75","Havelaar et al",2010,"World Health Organization Global Estimates and Regional Comparisons of the Burden of Foodborne Disease in 2010","To measure the global and regional burden of foodborne disease (FBD), the World Health Organization (WHO) established the Foodborne Disease Burden Epidemiology Reference Group (FERG), which here reports their first estimates of the incidence, mortality, and disease burden due to 31 foodborne hazards","PLoS Med","https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001923"
"76","Hay et al",2018,"Global, regional, and national disability-adjusted life-years (DALYs) for 333 diseases and injuries and healthy life expectancy (HALE) for 195 countries and territories, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016","The purpose of this study is to present the results of GBD 2016 for DALYs and HALE, building on updated estimates of mortality, causes of death, and non-fatal health loss to identify nations with notable variation in health performance from that expected on the basis of SDI.","Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32130-X/fulltext"
"77","Henrard et al",2014,"The health and economic burden of haemophilia in Belgium: A rare, expensive and challenging disease","This study pursued two principal objectives: 1) to estimate the health burden of haemophilia in Belgium by using the disability-adjusted life year (DALY) approach [9]; 2) to assess the economic burden by calculating both direct and indirect costs.","Orphanet Journal of Rare Diseases","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L372951628"
"78","James et al",2018,"Global, regional, and national incidence, prevalence, and years lived with disability for 354 diseases and injuries for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017","To explore the patterns of non-fatal health loss over time and estimate the statistical differences in non-fatal health loss for males and females.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001253056"
"79","Jankovic et al",2007,"The burden of disease and injury in Serbia","To assess the burden of disease and injury in the population of Serbia, Serbia and Montenegro, for 2000 year; * to discuss the relative importance of specific health problems and the relevance of these findings for the future health strategy in Serbia","Eur J Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L46208007"
"80","Kammeren et al",2006,"Priority setting of foodborne pathogens: disease burden and costs of selected enteric pathogens","Toxoplasmose veroorzaakt van zeven onderzochte voedseloverdraagbare micro-organismen de hoogste ziektelast. Dit is een voorlopige conclusie in een groot onderzoek naar ziektelast van door voedseloverdraagbare micro-organismen en de daaraan gerelateerde kosten. De andere onderzochte micro-organismen zijn Campylobacter spp., Salmonella spp., Listeria monocytogenes, Escherichia coli O157, norovirussen en rotavirussen. De virussen brachten de hoogste kosten met zich mee (vooral vanwege ziekteverzuim). Het onderzoek is bedoeld als basis voor het stellen van prioriteiten bij het voedselveiligheidsbeleid. Tot dusverre zijn alle overdrachtsroutes van de micro-organismen beschouwd, later zal de specifieke bijdrage van voedsel worden onderzocht. Er zal ook aandacht worden besteed aan trends, de effectiviteit van preventieve maatregelen en de perceptie van het risico door consumenten.","RIVM","https://www.rivm.nl/publicaties/priority-setting-of-foodborne-pathogens-disease-burden-and-costs-of-selected-enteric"
"81","Karelson",2016,"Eesti rahvastiku tervisekaotus 2013. aastal","Health loss of the Estonian population in 2013","Tervise Arengu instituut; Estonian Institute for Health Development","https://intra.tai.ee/images/prints/documents/145681803188_Tervisekaotus_2013_analyys.pdf"
"82","Kassebaum et al",2016,"Global, regional, and national disability-adjusted life-years (DALYs) for 315 diseases and injuries and healthy life expectancy (HALE), 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015","To provide updated HALE and DALYs for geographies worldwide and evaluate how disease burden changes with development","Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)31460-X/fulltext"
"83","Kinge et al",2017,"Economic losses and burden of disease by medical conditions in Norway","To explore the correlation between disease specific estimates of economic losses and the burden of disease. This is based on data for Norway in 2013 from the Global Burden of Disease (GBD) project and the Norwegian Directorate of Health.","Health Policy","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L615827792"
"84","Knudsen et al",2019,"Life expectancy and disease burden in the Nordic countries: results from the Global Burden of Diseases, Injuries, and Risk Factors Study 2017","To provide an overview over the population health in the Nordic countries and to provide differences and similarities in life expectancy and disease burden between them","Lancet Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629963143"
"85","Knudsen et al",2016,"Sykdomsbyrde i Norge 1990-2013","Sykdomsbyrde i Norge 1990-2013","Folkehelseinstituttet (National Institute of Public Health; Norway)","https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2016/rapport-20161-pdf.pdf"
"86","Knudsen et al",2017,"Sykdomsbyrde i Norge 2015","Resultater fra Global Burden of Diseases, Injuries, and Risk Factors Study 2015 (GBD 2015)","Folkehelseinstituttet (National Institute of Public Health; Norway)","https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2015/sykdomsbyrde_i_norge_2015.pdf"
"87","Koek et al",2019,"Burden of surgical site infections in the Netherlands: cost analyses and disability-adjusted life years","To identify the burden of (deep) SSIs in costs and disability-adjusted life years (DALYs) following colectomy, mastectomy and total hip arthroplasty (THA) in the Netherlands.","J Hosp Infect","https://www-sciencedirect-com.eur.idm.oclc.org/science/article/pii/S0195670119303044?via%3Dihub"
"88","Kortbeek et al",2009,"Congenital toxoplasmosis and DALYs in the Netherlands","To estimate the incidence of congenital toxoplasmosis (CT), a random sample of 10,008 dried blood spot filter paper cards from babies born in 2006 in the Netherlands were tested for Toxoplasma gondii-specific IgM antibodies.","Mem Inst Oswaldo Cruz","https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762009000200034&lng=en&nrm=iso&tlng=en"
"89","Kristensen et al",2016,"Burden of four vaccine preventable diseases in older adults","The aim ofthis study was derive the first estimates of the disease burden in adults aged 50 years or over in the Netherlands for influenza, pertussis, pneumococcal disease and herpes zoster","Vaccine","https://pdf.sciencedirectassets.com/271205/1-s2.0-S0264410X16X00059/1-s2.0-S0264410X15018630/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJL%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQDfzNXiSdQplmXpRHZ%2BFxEL%2Fm9ixMLC2n%2FjMic3zkwRfQIhAPFRxGIQCLiBC8L0U8sr50%2BXKbyWsgrsDOxvpf4E9ud3KrQDCCoQAxoMMDU5MDAzNTQ2ODY1Igz0vecVZet6%2FLFApO0qkQPZUVdDW7ppnDlfoeznDwPZeYs2o3HQFy9muczgPOjCO9E8ee90a%2BSpONgT9Fo2%2FOjA%2BWBQrJf6b1%2F8TZPWF%2FAdYG1O8fnH%2F6xGUR3eQB2%2B8zZ30RaZecBVi%2BJlSEHiy6SjuQgrJq1m3hTN9prb3Z6V8yy1ifQIsACHkFLggY0SQp6Kl%2FINoRBlkHLHUbFe5NjW2NUaV6po2I7VwNrkqOKCEkjBa6QWpcdMmpN7l9%2F2Y%2BgIC7HJDDk51T1Kwg3IWNhm3ZvfGCDx9ebRUVD6nEgteiNOUeD1CK1Coj8HacZ2NEBlfyfHCkN8jD3oCpliuxpc6Ne28TkYOn589vMRLnA5Znh0a%2BMiDQuC2JGc4MEbdNnhUb1JPsDFdYMgfA7JWRjcoN0owcfxla899xmAktkKM7lihp%2B4j74tkUJB2Od83YuLhRDdiy%2BLmfJwMdfAqklkovR2ehnOTs%2BJ3ppI3SxM7XJcB0NYm9iM9zrTUFJIV5phjQypgUsR5nSbWXe7UMvODmXwjNcwgqdKohdreboOVDCS5bf%2BBTrqASEKDviBnNhDxuqbFYYwwleqM5gi6d9O2WopvjF8my7GOrXPwzLvQhZeRB13Pk%2Fs%2BPweUuE5TdwZAcUaFamgy9He2crQOIWm%2B1qrLzpO2jQ%2BA6ue%2F3uUmYd8nBm0IukG5LRJPzVv5WsNP3v2fGKothJ%2BfCvpnMdOeiKrdv2zoYMlRmLbNzUllJ%2F8SW41e92IKpDp2e%2F4q%2FhcAXq7u4X9L1WFKuoyV7bg3Zd%2BjxY8vBq0C%2FW8K5XUEER6dQI%2F5KtFjcSYkFOWW6hTAdFJ0Ipo8tQenNtWHcTVTPm849LSQN0bmtGGuG19O6CjVQ%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20201207T101406Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYSIECFNOI%2F20201207%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=19de7ffcce80775f115ecf90a7797da6f53ed21d5d65dba5b2535422958edaca&hash=153b7ab4542992c8d3208ba928a7f46aff0f3c79c38dd6c6cd03440faec1a0e7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0264410X15018630&tid=spdf-612e72c5-1a55-40bd-a800-6e2f918979f5&sid=5a7839d6518d944dc77a6e04c8636a0bf87bgxrqb&type=client"
"90","Kyu et al",2018,"Global, regional, and national disability-adjusted life-years (DALYs) for 359 diseases and injuries and healthy life expectancy (HALE) for 195 countries and territories, 1990-2017: a systematic analysis for the Global Burden of Disease Study 2017","To present GBD 2017 results for HALE and DALYs by age and sex from 1990 to 2017 for 195 countries and territories; GBD 2017 includes new morbidity and mortality data","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001253061"
"91","Kyu et al",2018,"The global burden of tuberculosis: results from the Global Burden of Disease Study 2015","To assess trends in the fatal and non-fatal burden of tuberculosis over the past 25 years for 195 countries and territories.","The Lancet Infectious Diseases","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(17)30703-X/fulltext"
"92","LaBeaud et al",2011,"Measuring the burden of arboviral diseases: the spectrum of morbidity and mortality from four prevalent infections.","We reviewed newly available data on disease incidence and outcomes to critically evaluate the disease burden (as measured by disability-adjusted life years, or DALYs) caused by yellow fever virus (YFV), Japanese encephalitis virus (JEV), chikungunya virus (CHIKV), and Rift Valley fever virus (RVFV). We searched available literature and official reports on these viruses combined with the terms ""outbreak(s),"" ""complication(s),"" ""disability,"" ""quality of life,"" ""DALY,"" and ""QALY,"" focusing on reports since 2000. We screened 210 published studies, with 38 selected for inclusion. Data on average incidence, duration, age at onset, mortality, and severity of acute and chronic outcomes were used to create DALY estimates for 2005, using the approach of the current Global Burden of Disease framework.","Population Health Metrics","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/21219615/"
"93","Lackner et al",2019,"The disease burden associated with Campylobacter spp. In Germany, 2014","To quantify reliably the current disease burden of all Campylobacter spp.-associated diseases for Germany with the method of disability-adjusted life years (DALYs).","PLoS One","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/31091282/"
"94","Lai & Kohler",2006,"Burden of Disease of Estonian population (a policy brief)","To provide an introduction to possible links between socioeconomic factors and burden of disease","Sotsial Ministeenum","http://rahvatervis.ut.ee/bitstream/1/1861/2/Sotsiaalministeerium2009_2_inglisek.pdf"
"95","Lai et al",2009,"Measuring burden of disease in Estonia to support public health policy","To provide a first set of national and sub-national burden of disease estimates for Estonia; * present causes and age-gender distribution of the burden; *description of result uptake and impact of the study in Estonia public health policy","European Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L355348416"
"96","Lai et al",2004,"Haiguskoormuse tõttu kaotatud eluaastad Eestis: seosed riskifaktoritega ja riskide vähendamise kulutõhusus","Haiguskoormuse tõttu kaotatud eluaastad Eestis: seosed riskifaktoritega ja riskide vähendamise kulutõhusus","University of Tartu","http://www.rahvatervis.ut.ee/handle/1/81"
"97","Lapostolle et al",2007,"Sensitivity analysis in summary measure of population health in France.","To provide estimates of the French burden of disease, using the WHO Global Burden of Disease methodology and to perform sensitivity analysis on different set of mortality data.","Eur. J. Public Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/18037621/"
"98","Lekhan & Kriachkova",2019,"The system of measures to improve the health of the population of Ukraine based on the analysis of the global burden of diseases and its risk factors","To substantiate the system of measures on improvement of the health of the population of Ukraine on the basis of an indepth analysis of the global burden of diseases and injuries and associated risks.","Med. Perspect.","http://journals.uran.ua/index.php/2307-0404/article/view/181893/192267"
"99","Lewer et al",2020,"Premature mortality attributable to socioeconomic inequality in England between 2003 and 2018: an observational study","To measure the aggregate scale of inequality in premature mortality for the whole population of England.","Lancet Public Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/31813773/"
"100","Ljung et al",2005,"Socioeconomic differences in the burden of disease in Sweden","To analyse how much of the total burden of disease in Sweden, measured in DALYs, is a result of inequalities in health between socioeconomic groups; to determine how this unequal burden is distributed across different disease groups and socioeconomic groups.","Bulletin of the World Health Organization: the International Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L40239001"
"101","Lopez et al",2006,"Global and regional burden of disease and risk factors, 2001: systematic analysis of population health data","To calculate the global burden of disease and risk factors for 2001; to examine regional trends from 1990 to 2001; to provide a starting point for the analysis of the Disease Control Priorities Project (DCPP)","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L43767064"
